Trait	# groups	Compression	-2LnLk	Var_genetic	Var_error
AC	68	5.088235294117647	1837.0868364352073	18.606735673784964	10.501155500239287
AC	67	5.164179104477612	1836.3295062658894	18.91842005903881	10.47689142727997
AC	66	5.242424242424242	1836.008627255353	19.28485254389767	10.472310044103098
AC	64	5.40625	1834.8377862334037	19.643807959639762	10.480035302651824
AC	63	5.492063492063492	1833.9699991977586	19.89908456877163	10.466789089064111
AC	62	5.580645161290323	1833.632798460934	20.297401637325642	10.474793558339154
AC	60	5.766666666666667	1831.4217540378854	20.82644928880192	10.449858343619603
AC	59	5.864406779661017	1836.3165976948335	20.77196527074391	10.654557673220847
AC	58	5.9655172413793105	1838.6510525364042	20.008675135575693	10.821151838194352
AC	57	6.0701754385964914	1837.4534805034625	20.48778755939919	10.798649410756584
AC	56	6.178571428571429	1836.677162226361	20.871579994241927	10.77373363457813
AC	55	6.290909090909091	1835.784210616832	21.151132737819477	10.758546409357999
AC	53	6.528301886792453	1834.9524885532887	21.636548045211605	10.765103314116933
AC	52	6.653846153846154	1836.3781188524163	22.136480996978882	10.844517046798249
AC	51	6.784313725490196	1835.8673493403257	22.40931628161195	10.84254212942982
AC	50	6.92	1838.6229174449977	22.19905245880149	11.005629796487613
AC	49	7.061224489795919	1837.4333966915667	22.782264278454992	10.973662627944382
AC	48	7.208333333333333	1836.9876486059634	23.205717789639912	10.969354017965998
AC	47	7.361702127659575	1835.9687085138298	23.775312227428213	10.941111183093588
AC	46	7.521739130434782	1835.1017661545998	24.357922266347686	10.917309068032331
AC	45	7.688888888888889	1834.1440690790173	24.955577119648073	10.897051300231308
AC	44	7.863636363636363	1833.5225617495416	25.59879845937197	10.896085418124203
AC	43	8.046511627906977	1833.0029135563816	26.049605675165907	10.896643369944693
AC	42	8.238095238095237	1831.3146003499942	24.347761138321257	10.944958840370079
AC	41	8.439024390243903	1829.504220833697	24.996020385680698	10.908067306046297
AC	40	8.65	1827.995527635786	25.78672482020032	10.915803735905536
AC	39	8.871794871794872	1828.0981354392293	27.186283240925803	11.090654413661735
AC	38	9.105263157894736	1827.0281424399693	27.396971767160004	10.902215826995938
